date,ibja_am,ibja_pm
2020-07-23,,999.0
2020-07-27,,999.0
2020-07-28,,999.0
2020-08-03,,999.0
2020-08-04,,999.0
2020-08-05,,999.0
2020-08-06,,999.0
2020-08-10,,999.0
2020-08-13,,999.0
2020-08-14,,999.0
2020-08-19,,999.0
2020-08-20,,999.0
2020-08-24,,999.0
2020-08-25,,999.0
2020-08-28,,999.0
2020-09-03,,999.0
2020-09-04,,999.0
2020-09-07,,999.0
2020-09-08,,999.0
2020-09-09,,999.0
2020-09-11,,999.0
2020-09-16,,999.0
2020-09-18,,999.0
2020-09-23,,999.0
2020-09-24,,999.0
2020-09-25,,999.0
2020-09-28,,999.0
2020-09-29,,999.0
2020-10-01,,999.0
2020-10-05,,999.0
2020-10-06,,999.0
2020-10-07,,999.0
2020-10-08,,999.0
2020-10-12,,999.0
2020-10-13,,999.0
2020-10-22,,999.0
2020-10-26,,999.0
2020-10-28,,999.0
2020-11-03,,999.0
2020-11-04,,999.0
2020-11-05,,999.0
2020-11-06,,999.0
2020-11-11,,999.0
2020-11-12,,999.0
2020-11-13,,999.0
2020-11-19,,999.0
2020-11-23,,999.0
2020-11-24,,999.0
2020-11-25,,999.0
2020-11-27,,999.0
2020-12-01,,999.0
2020-12-02,,999.0
2020-12-07,,999.0
2020-12-10,,999.0
2020-12-15,,999.0
2020-12-16,,999.0
2020-12-17,,999.0
2020-12-21,,999.0
2020-12-23,,999.0
2020-12-24,,999.0
2020-12-28,,999.0
2020-12-29,,999.0
2020-12-31,,999.0
2021-01-01,,999.0
2021-01-06,,999.0
2021-01-08,,999.0
2021-01-12,,999.0
2021-01-14,,999.0
2021-01-15,,999.0
2021-01-20,,999.0
2021-01-25,,999.0
2021-01-27,,999.0
2021-01-28,,999.0
2021-02-01,,999.0
2021-02-02,,999.0
2021-02-04,,999.0
2021-02-10,,999.0
2021-02-15,,999.0
2021-02-16,,999.0
2021-02-18,,999.0
2021-02-19,,999.0
2021-02-25,,999.0
2021-03-02,,999.0
2021-03-03,,999.0
2021-03-04,,999.0
2021-03-09,,999.0
2021-03-16,,999.0
2021-03-18,,999.0
2021-03-19,,999.0
2021-03-24,,999.0
2021-03-25,,999.0
2021-03-26,,999.0
2021-04-05,,999.0
2021-04-06,,999.0
2021-04-07,,999.0
2021-04-08,,999.0
2021-04-12,,999.0
2021-04-15,,999.0
2021-04-19,,999.0
2021-04-23,,999.0
2021-04-25,,999.0
2021-04-28,,999.0
2021-04-30,,999.0
2021-05-05,,999.0
2021-05-07,,999.0
2021-05-12,,999.0
2021-05-13,,999.0
2021-05-18,,999.0
2021-05-25,,999.0
2021-05-31,,999.0
2021-06-03,,999.0
2021-06-07,,999.0
2021-06-08,,999.0
2021-06-09,,999.0
2021-06-10,,999.0
2021-06-11,,999.0
2021-06-15,,999.0
2021-06-21,,999.0
2021-06-22,,999.0
2021-06-24,,999.0
2021-06-25,,999.0
2021-07-01,,999.0
2021-07-05,,999.0
2021-07-08,,999.0
2021-07-14,,999.0
2021-07-19,,999.0
2021-07-20,,999.0
2021-07-23,,999.0
2021-07-26,,999.0
2021-07-28,,999.0
2021-07-29,,999.0
2021-08-03,,999.0
2021-08-05,,999.0
2021-08-06,,999.0
2021-08-09,,999.0
2021-08-11,,999.0
2021-08-17,,999.0
2021-08-18,,999.0
2021-08-20,,999.0
2021-08-24,,999.0
2021-08-26,,999.0
2021-08-31,,999.0
2021-09-01,,999.0
2021-09-02,,999.0
2021-09-03,,999.0
2021-09-09,,999.0
2021-09-13,,999.0
2021-09-14,,999.0
2021-09-15,,999.0
2021-09-17,,999.0
2021-09-20,,999.0
2021-09-21,,999.0
2021-09-22,,999.0
2021-09-23,,999.0
2021-09-24,,999.0
2021-09-28,,999.0
2021-09-30,,999.0
2021-10-01,,999.0
2021-10-04,,999.0
2021-10-06,,999.0
2021-10-08,,999.0
2021-10-11,,999.0
2021-10-18,,999.0
2021-10-20,,999.0
2021-10-25,,999.0
2021-10-26,,999.0
2021-10-28,,999.0
2021-10-29,,999.0
2021-11-01,,999.0
2021-11-15,,999.0
2021-11-16,,999.0
2021-11-17,,999.0
2021-11-18,,999.0
2021-11-22,,999.0
2021-11-24,,999.0
2021-11-26,,999.0
2021-11-29,,999.0
2021-11-30,,999.0
2021-12-01,,999.0
2021-12-06,,999.0
2021-12-13,,999.0
2021-12-14,,999.0
2021-12-15,,999.0
2021-12-16,,999.0
2021-12-17,,999.0
2021-12-20,,999.0
2021-12-22,,999.0
2021-12-23,,999.0
2021-12-24,,999.0
2021-12-27,,999.0
2021-12-28,,999.0
2021-12-31,,999.0
2022-01-03,,999.0
2022-01-04,,999.0
2022-01-05,,999.0
2022-01-06,,999.0
2022-01-07,,999.0
2022-01-11,,999.0
2022-01-12,,999.0
2022-01-13,,999.0
2022-01-24,,999.0
2022-01-25,,999.0
2022-01-27,,999.0
2022-01-31,,999.0
2022-02-01,,999.0
2022-02-07,,999.0
2022-02-09,,999.0
2022-02-10,,999.0
2022-02-11,,999.0
2022-02-14,,999.0
2022-02-15,,999.0
2022-02-17,,999.0
2022-02-22,,999.0
2022-02-23,,999.0
2022-02-24,,999.0
2022-02-25,,999.0
2022-03-07,,999.0
2022-03-08,,999.0
2022-03-10,,999.0
2022-03-11,,999.0
2022-03-14,,999.0
2022-03-16,,999.0
2022-03-17,,999.0
2022-03-21,,999.0
2022-03-29,,999.0
2022-03-30,,999.0
2022-03-31,,999.0
2022-04-01,,999.0
2022-04-04,,999.0
2022-04-06,,999.0
2022-04-08,,999.0
2022-04-12,,999.0
2022-04-19,,999.0
2022-04-20,,999.0
2022-04-21,,999.0
2022-04-22,,999.0
2022-04-27,,999.0
2022-04-29,,999.0
2022-05-02,,999.0
2022-05-04,,999.0
2022-05-06,,999.0
2022-05-09,,999.0
2022-05-10,,999.0
2022-05-12,,999.0
2022-05-16,,999.0
2022-05-18,,999.0
2022-05-19,,999.0
2022-05-23,,999.0
2022-05-24,,999.0
2022-05-26,,999.0
2022-05-31,,999.0
2022-06-06,,999.0
2022-06-09,,999.0
2022-06-10,,999.0
2022-06-14,,999.0
2022-06-15,,999.0
2022-06-16,,999.0
2022-06-20,,999.0
2022-06-22,,999.0
2022-06-23,,999.0
2022-06-24,,999.0
2022-06-28,,999.0
2022-06-29,,999.0
2022-07-01,,999.0
2022-07-05,,999.0
2022-07-07,,999.0
2022-07-11,,999.0
2022-07-14,,999.0
2022-07-15,,999.0
2022-07-18,,999.0
2022-07-21,,999.0
2022-07-26,,999.0
2022-07-27,,999.0
2022-08-01,,999.0
2022-08-02,,999.0
2022-08-04,,999.0
2022-08-05,,999.0
2022-08-08,,999.0
2022-08-10,,999.0
2022-08-11,,999.0
2022-08-12,,999.0
2022-08-16,,999.0
2022-08-17,,999.0
2022-08-19,,999.0
2022-08-22,,999.0
2022-08-23,,999.0
2022-08-24,,999.0
2022-08-26,,999.0
2022-08-29,,999.0
2022-08-30,,999.0
2022-09-01,,999.0
2022-09-02,,999.0
2022-09-07,,999.0
2022-09-08,,999.0
2022-09-09,,999.0
2022-09-13,,999.0
2022-09-14,,999.0
2022-09-15,,999.0
2022-09-16,,999.0
2022-09-20,,999.0
2022-09-21,,999.0
2022-09-22,,999.0
2022-09-23,,999.0
2022-09-26,,999.0
2022-09-28,,999.0
2022-10-04,,999.0
2022-10-11,,999.0
2022-10-13,,999.0
2022-10-14,,999.0
2022-10-17,,999.0
2022-10-18,,999.0
2022-10-19,,999.0
2022-10-20,,999.0
2022-10-27,,999.0
2022-11-02,,999.0
2022-11-04,,999.0
2022-11-08,,999.0
2022-11-09,,999.0
2022-11-10,,999.0
2022-11-11,,999.0
2022-11-14,,999.0
2022-11-16,,999.0
2022-11-17,,999.0
2022-11-18,,999.0
2022-11-22,,999.0
2022-11-23,,999.0
2022-11-30,,999.0
2022-12-02,,999.0
2022-12-05,,999.0
2022-12-06,,999.0
2022-12-07,,999.0
2022-12-08,,999.0
2022-12-09,,999.0
2022-12-16,,999.0
2022-12-19,,999.0
2022-12-20,,999.0
2022-12-21,,999.0
2022-12-22,,999.0
2022-12-27,,999.0
2022-12-28,,999.0
2022-12-29,,999.0
2022-12-30,,999.0
2023-01-06,,999.0
2023-01-10,,999.0
2023-01-11,,999.0
2023-01-12,,999.0
2023-01-13,,999.0
2023-01-16,,999.0
2023-01-17,,999.0
2023-01-19,,999.0
2023-01-20,,999.0
2023-01-24,,999.0
2023-01-31,,999.0
2023-02-01,,999.0
2023-02-02,,999.0
2023-02-03,,999.0
2023-02-09,,999.0
2023-02-10,,999.0
2023-02-14,,999.0
2023-02-15,,999.0
2023-02-16,,999.0
2023-02-17,,999.0
2023-02-20,,999.0
2023-02-21,,999.0
2023-02-22,,999.0
2023-02-23,,999.0
2023-02-24,,999.0
2023-03-01,,999.0
2023-03-03,,999.0
2023-03-10,,999.0
2023-03-13,,999.0
2023-03-16,,999.0
2023-03-20,,999.0
2023-03-21,,999.0
2023-03-22,,999.0
2023-03-23,,999.0
2023-03-24,,999.0
2023-03-28,,999.0
2023-03-31,,999.0
2023-04-03,,999.0
2023-04-04,,999.0
2023-04-10,,999.0
2023-04-11,,999.0
2023-04-12,,999.0
2023-04-13,,999.0
2023-04-19,,999.0
2023-04-21,,999.0
2023-04-26,,999.0
2023-05-02,,999.0
2023-05-03,,999.0
2023-05-05,,999.0
2023-05-09,,999.0
2023-05-10,,999.0
2023-05-11,,999.0
2023-05-17,,999.0
2023-05-19,,999.0
2023-05-22,,999.0
2023-05-23,,999.0
2023-05-25,,999.0
2023-05-26,,999.0
2023-05-29,,999.0
2023-05-30,,999.0
2023-06-01,,999.0
2023-06-02,,999.0
2023-06-08,,999.0
2023-06-09,,999.0
2023-06-16,,999.0
2023-06-19,,999.0
2023-06-20,,999.0
2023-06-22,,999.0
2023-06-23,,999.0
2023-06-26,,999.0
2023-07-06,,999.0
2023-07-07,,999.0
2023-07-10,,999.0
2023-07-12,,999.0
2023-07-13,,999.0
2023-07-14,,999.0
2023-07-17,,999.0
2023-07-20,,999.0
2023-07-21,,999.0
2023-07-24,,999.0
2023-07-25,,999.0
2023-07-31,,999.0
2023-08-02,,999.0
2023-08-04,,999.0
2023-08-07,,999.0
2023-08-08,,999.0
2023-08-09,,999.0
2023-08-14,,999.0
2023-08-16,,999.0
2023-08-17,,999.0
2023-08-18,,999.0
2023-08-23,,999.0
2023-08-28,,999.0
2023-08-29,,999.0
2023-08-31,,999.0
2023-09-01,,999.0
2023-09-06,,999.0
2023-09-07,,999.0
2023-09-14,,999.0
2023-09-20,,999.0
2023-09-21,,999.0
2023-09-26,,999.0
2023-09-27,,999.0
2023-09-29,,999.0
2023-10-06,,999.0
2023-10-11,,999.0
2023-10-13,,999.0
2023-10-16,,999.0
2023-10-17,,999.0
2023-10-19,,999.0
2023-10-23,,999.0
2023-10-26,,999.0
2023-10-30,,999.0
2023-11-03,,999.0
2023-11-06,,999.0
2023-11-07,,999.0
2023-11-08,,999.0
2023-11-09,,999.0
2023-11-15,,999.0
2023-11-21,,999.0
2023-11-22,,999.0
2023-11-29,,999.0
2023-11-30,,999.0
2023-12-01,,999.0
2023-12-05,,999.0
2023-12-12,,999.0
2023-12-14,,999.0
2023-12-19,,999.0
2023-12-20,,999.0
2023-12-21,,999.0
2023-12-22,,999.0
2023-12-26,,999.0
2024-01-05,,999.0
2024-01-10,,999.0
2024-01-11,,999.0
2024-01-15,,999.0
2024-01-16,,999.0
2024-01-19,,999.0
2024-01-23,,999.0
2024-01-24,,999.0
2024-01-30,,999.0
2024-01-31,,999.0
2024-02-02,,999.0
2024-02-06,,999.0
2024-02-07,,999.0
2024-02-08,,999.0
2024-02-12,,999.0
2024-02-13,,999.0
2024-02-14,,999.0
2024-02-15,,999.0
2024-02-16,,999.0
2024-02-19,,999.0
2024-02-20,,999.0
2024-02-21,,999.0
2024-02-22,,999.0
2024-02-27,,999.0
2024-02-28,,999.0
2024-03-01,,999.0
2024-03-05,,999.0
2024-03-11,,999.0
2024-03-12,,999.0
2024-03-13,,999.0
2024-03-18,,999.0
2024-03-22,,999.0
2024-03-26,,999.0
2024-03-27,,999.0
2024-03-28,,999.0
2024-04-01,,999.0
2024-04-03,,999.0
2024-04-04,,999.0
2024-04-05,,999.0
2024-04-08,,999.0
2024-04-09,,999.0
2024-04-10,,999.0
2024-04-18,,999.0
2024-04-19,,999.0
2024-04-22,,999.0
2024-04-26,,999.0
2024-04-29,,999.0
2024-05-03,,999.0
2024-05-06,,999.0
2024-05-07,,999.0
2024-05-08,,999.0
2024-05-10,,999.0
2024-05-13,,999.0
2024-05-16,,999.0
2024-05-17,,999.0
2024-05-22,,999.0
2024-05-23,,999.0
2024-05-27,,999.0
2024-05-29,,999.0
2024-06-03,,999.0
2024-06-06,,999.0
2024-06-07,,999.0
2024-06-10,,999.0
2024-06-11,,999.0
2024-06-12,,999.0
2024-06-14,,999.0
2024-06-19,,999.0
2024-07-31,,999.0
2024-08-06,,999.0
2024-08-09,,999.0
2024-08-12,,999.0
2024-08-14,,999.0
2024-08-21,,999.0
2024-08-22,,999.0
2024-08-23,,999.0
2024-08-26,,999.0
2024-09-02,,999.0
2024-09-18,,999.0
2024-09-19,,999.0
2024-09-23,,999.0
2024-09-24,,999.0
2024-09-25,,999.0
2024-09-26,,999.0
2024-10-03,,999.0
2024-10-08,,999.0
2024-10-09,,999.0
2024-10-17,,999.0
2024-10-21,,999.0
2024-10-22,,999.0
2024-10-25,,999.0
2024-10-28,,999.0
2024-10-29,,999.0
2024-11-04,,999.0
2024-11-06,,999.0
2024-11-08,,999.0
2024-11-12,,999.0
2024-11-14,,999.0
2024-11-18,,999.0
2024-11-21,,999.0
2024-11-25,,999.0
2024-11-26,,999.0
2024-11-27,,999.0
2024-11-29,,999.0
2024-12-05,,999.0
2024-12-09,,999.0
2024-12-13,,999.0
2024-12-16,,999.0
2024-12-20,,999.0
2024-12-30,,999.0
2025-01-06,,999.0
2025-01-08,,999.0
2025-01-10,,999.0
2025-01-13,,999.0
2025-01-14,,999.0
2025-01-15,,999.0
2025-01-16,,999.0
2025-01-17,,999.0
2025-01-21,,999.0
2025-01-22,,999.0
2025-01-23,,999.0
2025-01-24,,999.0
2025-02-13,,999.0
2025-02-17,,999.0
2025-02-18,,999.0
2025-02-19,,999.0
2025-02-20,,999.0
2025-02-21,,999.0
2025-02-24,,999.0
2025-02-25,,999.0
2025-02-28,,999.0
2025-03-04,,999.0
2025-03-06,,999.0
2025-03-12,,999.0
2025-03-17,,999.0
2025-03-18,,999.0
2025-03-19,,999.0
2025-03-21,,999.0
2025-03-25,,999.0
2025-03-26,,999.0
2025-03-28,,999.0
2025-04-03,,999.0
2025-04-04,,999.0
2025-04-08,,999.0
2025-04-09,,999.0
2025-04-11,,999.0
2025-04-21,,999.0
2025-04-28,,999.0
2025-05-06,,999.0
2025-05-07,,999.0
2025-05-08,,999.0
2025-05-13,,999.0
2025-05-14,,999.0
2025-05-15,,999.0
2025-05-20,,999.0
2025-05-23,,999.0
2025-05-29,,999.0
2025-06-04,,999.0
2025-06-11,,999.0
2025-06-12,,999.0
2025-06-16,,999.0
2025-06-18,,999.0
2025-06-25,,999.0
2025-07-29,,999.0
2025-07-30,,999.0
2025-08-01,,999.0
2025-08-11,,999.0
2025-08-12,,999.0
2025-08-20,,999.0
2025-08-22,,999.0
2025-08-29,,999.0
2025-09-01,,999.0
2025-09-02,,999.0
2025-09-03,,999.0
2025-09-04,,999.0
2025-09-05,,999.0
2025-09-09,,999.0
2025-09-19,,999.0
2025-09-22,,999.0
2025-09-24,,999.0
2025-10-03,,999.0
2025-10-06,,999.0
2025-10-07,,999.0
2025-10-09,,999.0
2025-10-10,,999.0
2025-10-13,,999.0
2025-10-14,,999.0
2025-10-15,,999.0
2025-10-24,,999.0
2025-10-27,,999.0
2025-10-28,,999.0
2025-11-03,,999.0
2025-11-04,,999.0
2025-11-12,,999.0
2025-11-13,,999.0
2025-11-14,,999.0
2025-11-18,,999.0
2025-11-24,,999.0
2025-11-26,,999.0
2025-11-27,,999.0
2025-12-02,,999.0
2025-12-05,,999.0
2025-12-09,,999.0
2025-12-12,,999.0
2025-12-22,,999.0
2025-12-29,,999.0
2026-01-01,,999.0
2026-01-02,,999.0
2026-01-07,,999.0
2026-01-08,,999.0
2026-01-12,,999.0
2026-01-13,,999.0
2026-01-14,,999.0
2026-01-16,,999.0
2026-01-20,,999.0
2026-01-21,,999.0
2026-01-23,,999.0
2026-01-27,,999.0
2026-01-28,,999.0
2026-01-30,,999.0
2026-02-03,,999.0
2026-02-05,,999.0
2026-02-06,,999.0
2026-02-09,,999.0
2026-02-10,,999.0
2026-02-13,,999.0
2026-02-19,,999.0
2026-02-20,,999.0
2026-02-23,,999.0
2026-02-24,,999.0
2026-02-25,,999.0
2026-04-17,,999.0
2026-04-20,,999.0
2026-04-21,,999.0
2026-04-22,,999.0
2026-05-18,,999.0
2026-05-20,,999.0
2026-05-22,,999.0
2026-05-25,,999.0
2026-05-26,,999.0
2026-05-27,,999.0
2026-05-29,,999.0
2026-06-01,,999.0
2026-06-02,,999.0
2026-06-03,,999.0
2026-06-04,,999.0
2026-06-05,,999.0
2026-06-08,,999.0
2026-06-09,,999.0
2026-06-10,,999.0
2026-06-11,,999.0
2026-06-12,,999.0
2026-06-15,,999.0
2026-06-16,,999.0
2026-06-17,,999.0
2026-06-18,,999.0
2026-06-19,,999.0
2026-06-22,,999.0
2026-06-23,,999.0
2026-06-24,,999.0
2026-06-25,,999.0
2026-06-29,,999.0
2026-06-30,,999.0
